  No;Problem;                                                                            ;;
 300;lwb/k_dum_p.0880.spartacus;                                             25.47; Unsat;
 301;lwb/k_dum_p.0960.spartacus;                                             33.04; Unsat;
 302;lwb/k_dum_p.1040.spartacus;                                             41.84; Unsat;
 303;lwb/k_dum_p.1120.spartacus;                                             52.23; Unsat;
 304;lwb/k_dum_p.1200.spartacus;                                             63.98; Unsat;
 305;lwb/k_dum_p.1280.spartacus;                                             77.42; Unsat;
 306;lwb/k_dum_p.1360.spartacus;                                             93.07; Unsat;
 307;lwb/k_dum_p.1440.spartacus;                                            110.35; Unsat;
 308;lwb/k_dum_p.1520.spartacus;                                            127.68; Unsat;
 309;lwb/k_dum_p.1600.spartacus;                                            139.98; Unsat;
 310;lwb/k_dum_p.1680.spartacus;                                            163.25; Unsat;
 311;lwb/k_dum_p.1760.spartacus;                                            186.29; Unsat;
 312;lwb/k_dum_p.1840.spartacus;                                            208.38; Unsat;
 313;lwb/k_dum_p.1920.spartacus;                                            217.04; Unsat;
 314;lwb/k_dum_p.2000.spartacus;                                            243.82; Unsat;
 315;lwb/k_dum_p.2080.spartacus;                                            288.66; Unsat;
 316;lwb/k_dum_p.2160.spartacus;                                            307.11; Unsat;
 317;lwb/k_dum_p.2240.spartacus;                                            330.07; Unsat;
 318;lwb/k_dum_p.2320.spartacus;                                            362.96; Unsat;
 319;lwb/k_dum_p.2400.spartacus;                                            390.46; Unsat;
 320;lwb/k_dum_p.2480.spartacus;                                            364.89; Unsat;
 321;lwb/k_dum_p.2560.spartacus;                                            490.23; Unsat;
 322;lwb/k_dum_p.2640.spartacus;                                            520.75; Unsat;
 323;lwb/k_dum_p.2720.spartacus;                                            561.87; Unsat;
 324;lwb/k_dum_p.2800.spartacus;                                            572.76; Unsat;
 325;lwb/k_dum_p.2880.spartacus;                                            579.21; Unsat;
 326;lwb/k_dum_p.2960.spartacus;                                            628.03; Unsat;
 327;lwb/k_dum_p.3040.spartacus;                                            677.84; Unsat;
 328;lwb/k_dum_p.3120.spartacus;                                            731.21; Unsat;
 329;lwb/k_dum_p.3200.spartacus;                                            787.56; Unsat;
 330;lwb/k_dum_p.3280.spartacus;                                            827.44; Unsat;
 331;lwb/k_dum_p.3360.spartacus;                                            886.30; Unsat;
 332;lwb/k_dum_p.3440.spartacus;                                            948.46; Unsat;
 333;lwb/k_dum_p.3520.spartacus;                                           TIMEOUT;      ;
 334;lwb/k_dum_p.3600.spartacus;                                           TIMEOUT;      ;
 335;lwb/k_dum_p.3680.spartacus;                                           TIMEOUT;      ;
 336;lwb/k_dum_p.3760.spartacus;                                           TIMEOUT;      ;
 337;lwb/k_grz_n.0010.spartacus;                                              0.00; Sat  ;
 338;lwb/k_grz_n.0020.spartacus;                                              0.00; Sat  ;
 339;lwb/k_grz_n.0030.spartacus;                                              0.00; Sat  ;
 340;lwb/k_grz_n.0040.spartacus;                                              0.01; Sat  ;
