Prover,System,Problem,Execution Time,Result
lwb,bbtab,k_grz_n.3200.,9999999.0,NULL
lwb,bbtab,k_grz_n.3300.,9999999.0,NULL
lwb,bbtab,k_grz_n.3400.,9999999.0,NULL
lwb,bbtab,k_grz_n.3500.,9999999.0,NULL
lwb,bbtab,k_grz_n.3600.,9999999.0,NULL
lwb,bbtab,k_grz_n.3700.,9999999.0,NULL
lwb,bbtab,k_grz_n.3800.,9999999.0,NULL
lwb,bbtab,k_grz_n.3900.,9999999.0,NULL
lwb,bbtab,k_grz_n.4000.,9999999.0,NULL
lwb,bbtab,k_grz_n.4500.,9999999.0,NULL
lwb,bbtab,k_grz_n.5000.,9999999.0,NULL
lwb,bbtab,k_grz_n.5500.,9999999.0,NULL
lwb,bbtab,k_grz_n.6000.,9999999.0,NULL
lwb,bbtab,k_grz_n.6500.,9999999.0,NULL
lwb,bbtab,k_grz_n.7000.,9999999.0,NULL
lwb,bbtab,k_grz_n.8000.,9999999.0,NULL
lwb,bbtab,k_grz_p.0010.,0.0, Unsat
lwb,bbtab,k_grz_p.0020.,0.0, Unsat
lwb,bbtab,k_grz_p.0030.,0.0, Unsat
lwb,bbtab,k_grz_p.0040.,0.01, Unsat
lwb,bbtab,k_grz_p.0050.,0.01, Unsat
lwb,bbtab,k_grz_p.0060.,0.02, Unsat
lwb,bbtab,k_grz_p.0070.,0.02, Unsat
lwb,bbtab,k_grz_p.0080.,0.03, Unsat
lwb,bbtab,k_grz_p.0090.,0.04, Unsat
lwb,bbtab,k_grz_p.0100.,0.05, Unsat
lwb,bbtab,k_grz_p.0200.,0.37, Unsat
lwb,bbtab,k_grz_p.0300.,1.28, Unsat
lwb,bbtab,k_grz_p.0400.,3.05, Unsat
lwb,bbtab,k_grz_p.0500.,5.95, Unsat
lwb,bbtab,k_grz_p.0600.,10.31, Unsat
lwb,bbtab,k_grz_p.0700.,16.31, Unsat
lwb,bbtab,k_grz_p.0800.,24.42, Unsat
lwb,bbtab,k_grz_p.0900.,34.97, Unsat
lwb,bbtab,k_grz_p.1000.,48.24, Unsat
lwb,bbtab,k_grz_p.1100.,65.17, Unsat
lwb,bbtab,k_grz_p.1200.,85.25, Unsat
lwb,bbtab,k_grz_p.1300.,109.07, Unsat
lwb,bbtab,k_grz_p.1400.,136.06, Unsat
lwb,bbtab,k_grz_p.1500.,168.52, Unsat
lwb,bbtab,k_grz_p.1600.,206.32, Unsat
lwb,bbtab,k_grz_p.1700.,248.71, Unsat
lwb,bbtab,k_grz_p.1800.,296.99, Unsat
lwb,bbtab,k_grz_p.1900.,351.42, Unsat
lwb,bbtab,k_grz_p.2000.,413.01, Unsat
lwb,bbtab,k_grz_p.2100.,481.6, Unsat
lwb,bbtab,k_grz_p.2200.,557.49, Unsat
lwb,bbtab,k_grz_p.2300.,641.93, Unsat
lwb,bbtab,k_grz_p.2400.,734.62, Unsat
lwb,bbtab,k_grz_p.2500.,839.18, Unsat
lwb,bbtab,k_grz_p.2600.,950.8, Unsat
lwb,bbtab,k_grz_p.2700.,9999999.0,NULL
lwb,bbtab,k_grz_p.2800.,9999999.0,NULL
lwb,bbtab,k_grz_p.2900.,9999999.0,NULL
lwb,bbtab,k_grz_p.3000.,9999999.0,NULL
lwb,bbtab,k_grz_p.3100.,9999999.0,NULL
lwb,bbtab,k_grz_p.3200.,9999999.0,NULL
lwb,bbtab,k_grz_p.3300.,9999999.0,NULL
lwb,bbtab,k_grz_p.3400.,9999999.0,NULL
lwb,bbtab,k_grz_p.3500.,9999999.0,NULL
lwb,bbtab,k_grz_p.3600.,9999999.0,NULL
lwb,bbtab,k_grz_p.3700.,9999999.0,NULL
lwb,bbtab,k_grz_p.3800.,9999999.0,NULL
lwb,bbtab,k_grz_p.3900.,9999999.0,NULL
lwb,bbtab,k_grz_p.4000.,9999999.0,NULL
lwb,bbtab,k_grz_p.4500.,9999999.0,NULL
lwb,bbtab,k_grz_p.5000.,9999999.0,NULL
lwb,bbtab,k_grz_p.5500.,9999999.0,NULL
lwb,bbtab,k_grz_p.6000.,9999999.0,NULL
lwb,bbtab,k_grz_p.6500.,9999999.0,NULL
lwb,bbtab,k_grz_p.7000.,9999999.0,NULL
lwb,bbtab,k_grz_p.8000.,9999999.0,NULL
lwb,bbtab,k_lin_n.0010.,0.0, Sat  
lwb,bbtab,k_lin_n.0020.,0.01, Sat  
lwb,bbtab,k_lin_n.0030.,0.05, Sat  
lwb,bbtab,k_lin_n.0040.,0.1, Sat  
lwb,bbtab,k_lin_n.0050.,0.18, Sat  
lwb,bbtab,k_lin_n.0060.,0.31, Sat  
lwb,bbtab,k_lin_n.0070.,0.38, Sat  
lwb,bbtab,k_lin_n.0080.,0.51, Sat  
lwb,bbtab,k_lin_n.0090.,0.71, Sat  
lwb,bbtab,k_lin_n.0100.,0.85, Sat  
lwb,bbtab,k_lin_n.0200.,4.52, Sat  
lwb,bbtab,k_lin_n.0300.,12.58, Sat  
lwb,bbtab,k_lin_n.0400.,26.34, Sat  
lwb,bbtab,k_lin_n.0500.,51.3, Sat  
lwb,bbtab,k_lin_n.0600.,98.2, Sat  
lwb,bbtab,k_lin_n.0700.,141.5, Sat  
lwb,bbtab,k_lin_n.0800.,234.38, Sat  
lwb,bbtab,k_lin_n.0900.,337.48, Sat  
lwb,bbtab,k_lin_n.1000.,467.41, Sat  
lwb,bbtab,k_lin_n.1100.,612.6, Sat  
lwb,bbtab,k_lin_n.1200.,793.87, Sat  
lwb,bbtab,k_lin_n.1300.,956.99, Sat  
lwb,bbtab,k_lin_n.1400.,9999999.0,NULL
lwb,bbtab,k_lin_n.1500.,9999999.0,NULL
lwb,bbtab,k_lin_n.1600.,9999999.0,NULL
lwb,bbtab,k_lin_n.1700.,9999999.0,NULL
lwb,bbtab,k_lin_n.1800.,9999999.0,NULL
lwb,bbtab,k_lin_n.1900.,9999999.0,NULL
lwb,bbtab,k_lin_n.2000.,9999999.0,NULL
lwb,bbtab,k_lin_n.2100.,9999999.0,NULL
lwb,bbtab,k_lin_n.2200.,9999999.0,NULL
lwb,bbtab,k_lin_n.2300.,9999999.0,NULL
lwb,bbtab,k_lin_n.2400.,9999999.0,NULL
lwb,bbtab,k_lin_n.2500.,9999999.0,NULL
lwb,bbtab,k_lin_n.2600.,9999999.0,NULL
lwb,bbtab,k_lin_n.2700.,9999999.0,NULL
lwb,bbtab,k_lin_n.2800.,9999999.0,NULL
lwb,bbtab,k_lin_n.2900.,9999999.0,NULL
lwb,bbtab,k_lin_n.3000.,9999999.0,NULL
lwb,bbtab,k_lin_n.3100.,9999999.0,NULL
lwb,bbtab,k_lin_n.3200.,9999999.0,NULL
lwb,bbtab,k_lin_n.3300.,9999999.0,NULL
lwb,bbtab,k_lin_n.3400.,9999999.0,NULL
lwb,bbtab,k_lin_n.3600.,9999999.0,NULL
lwb,bbtab,k_lin_n.3800.,9999999.0,NULL
lwb,bbtab,k_lin_n.4000.,9999999.0,NULL
lwb,bbtab,k_lin_n.4200.,9999999.0,NULL
lwb,bbtab,k_lin_n.4400.,9999999.0,NULL
lwb,bbtab,k_lin_n.4600.,9999999.0,NULL
lwb,bbtab,k_lin_n.4800.,9999999.0,NULL
lwb,bbtab,k_lin_n.5000.,9999999.0,NULL
lwb,bbtab,k_lin_n.5200.,9999999.0,NULL
lwb,bbtab,k_lin_n.5400.,9999999.0,NULL
lwb,bbtab,k_lin_n.5600.,9999999.0,NULL
lwb,bbtab,k_lin_n.5800.,9999999.0,NULL
lwb,bbtab,k_lin_n.6000.,9999999.0,NULL
lwb,bbtab,k_lin_p.000010.,0.0, Unsat
lwb,bbtab,k_lin_p.000020.,0.0, Unsat
lwb,bbtab,k_lin_p.000030.,0.01, Unsat
lwb,bbtab,k_lin_p.000040.,0.02, Unsat
lwb,bbtab,k_lin_p.000050.,0.03, Unsat
lwb,bbtab,k_lin_p.000060.,0.07, Unsat
lwb,bbtab,k_lin_p.000070.,0.1, Unsat
lwb,bbtab,k_lin_p.000080.,0.16, Unsat
lwb,bbtab,k_lin_p.000090.,0.26, Unsat
lwb,bbtab,k_lin_p.000100.,0.4, Unsat
lwb,bbtab,k_lin_p.000200.,8.74, Unsat
lwb,bbtab,k_lin_p.000300.,52.83, Unsat
lwb,bbtab,k_lin_p.000400.,180.97, Unsat
lwb,bbtab,k_lin_p.000500.,467.08, Unsat
lwb,bbtab,k_lin_p.000600.,9999999.0,NULL
lwb,bbtab,k_lin_p.000700.,9999999.0,NULL
lwb,bbtab,k_lin_p.000800.,9999999.0,NULL
lwb,bbtab,k_lin_p.000900.,9999999.0,NULL
lwb,bbtab,k_lin_p.001000.,9999999.0,NULL
lwb,bbtab,k_lin_p.002000.,9999999.0,NULL
lwb,bbtab,k_lin_p.003000.,9999999.0,NULL
lwb,bbtab,k_lin_p.004000.,9999999.0,NULL
lwb,bbtab,k_lin_p.005000.,9999999.0,NULL
lwb,bbtab,k_lin_p.006000.,9999999.0,NULL
lwb,bbtab,k_lin_p.007000.,9999999.0,NULL
lwb,bbtab,k_lin_p.008000.,9999999.0,NULL
lwb,bbtab,k_lin_p.009000.,9999999.0,NULL
lwb,bbtab,k_lin_p.010000.,9999999.0,NULL
lwb,bbtab,k_lin_p.020000.,9999999.0,NULL
lwb,bbtab,k_lin_p.030000.,9999999.0,NULL
lwb,bbtab,k_lin_p.040000.,9999999.0,NULL
lwb,bbtab,k_lin_p.050000.,9999999.0,NULL
lwb,bbtab,k_lin_p.060000.,9999999.0,NULL
lwb,bbtab,k_lin_p.070000.,9999999.0,NULL
lwb,bbtab,k_lin_p.080000.,9999999.0,NULL
lwb,bbtab,k_lin_p.090000.,9999999.0,NULL
lwb,bbtab,k_lin_p.100000.,9999999.0,NULL
lwb,bbtab,k_lin_p.110000.,9999999.0,NULL
lwb,bbtab,k_lin_p.120000.,9999999.0,NULL
lwb,bbtab,k_lin_p.130000.,9999999.0,NULL
lwb,bbtab,k_lin_p.140000.,9999999.0,NULL
