  No;Problem;                                                                            ;;
 164;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.4.spartacus;                279.15; Sat  ;
 165;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.5.spartacus;                425.00; Sat  ;
 166;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.6.spartacus;                327.04; Sat  ;
 167;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.7.spartacus;                361.23; Sat  ;
 168;qbfL/C30-V04-D6/p-qbf-cnfLadn-K4-C30-V4-D6.8.spartacus;                170.72; Unsat;
 169;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.1.spartacus;               TIMEOUT;      ;
 170;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.2.spartacus;               TIMEOUT;      ;
 171;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.3.spartacus;               TIMEOUT;      ;
 172;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.4.spartacus;               TIMEOUT;      ;
 173;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.5.spartacus;               TIMEOUT;      ;
 174;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.6.spartacus;               TIMEOUT;      ;
 175;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.7.spartacus;               TIMEOUT;      ;
 176;qbfL/C30-V08-D4/p-qbf-cnfLadn-K4-C30-V8-D4.8.spartacus;               TIMEOUT;      ;
 177;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.1.spartacus;               TIMEOUT;      ;
 178;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.2.spartacus;               TIMEOUT;      ;
 179;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.3.spartacus;               TIMEOUT;      ;
 180;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.4.spartacus;               TIMEOUT;      ;
 181;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.5.spartacus;               TIMEOUT;      ;
 182;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.6.spartacus;               TIMEOUT;      ;
 183;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.7.spartacus;               TIMEOUT;      ;
 184;qbfL/C30-V08-D6/p-qbf-cnfLadn-K4-C30-V8-D6.8.spartacus;               TIMEOUT;      ;
 185;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.1.spartacus;              TIMEOUT;      ;
 186;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.2.spartacus;              TIMEOUT;      ;
 187;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.3.spartacus;              TIMEOUT;      ;
 188;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.4.spartacus;              TIMEOUT;      ;
 189;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.5.spartacus;              TIMEOUT;      ;
 190;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.6.spartacus;              TIMEOUT;      ;
 191;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.7.spartacus;              TIMEOUT;      ;
 192;qbfL/C30-V16-D4/p-qbf-cnfLadn-K4-C30-V16-D4.8.spartacus;              TIMEOUT;      ;
 193;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.1.spartacus;              TIMEOUT;      ;
 194;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.2.spartacus;              TIMEOUT;      ;
 195;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.3.spartacus;              TIMEOUT;      ;
 196;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.4.spartacus;              TIMEOUT;      ;
 197;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.5.spartacus;              TIMEOUT;      ;
 198;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.6.spartacus;              TIMEOUT;      ;
 199;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.7.spartacus;              TIMEOUT;      ;
 200;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.8.spartacus;              TIMEOUT;      ;
 201;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.1.spartacus;                  1.21; Unsat;
 202;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.2.spartacus;                  1.44; Unsat;
 203;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.3.spartacus;                  1.02; Unsat;
 204;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.4.spartacus;                  1.03; Unsat;
 205;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.5.spartacus;                  1.14; Unsat;
 206;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.6.spartacus;                  1.16; Unsat;
 207;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.7.spartacus;                  1.14; Unsat;
 208;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.8.spartacus;                  1.27; Unsat;
 209;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.1.spartacus;                280.99; Unsat;
 210;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.2.spartacus;                283.79; Unsat;
 211;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.3.spartacus;                176.90; Unsat;
 212;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.4.spartacus;                227.73; Unsat;
 213;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.5.spartacus;                204.90; Unsat;
 214;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.6.spartacus;                195.06; Unsat;
 215;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.7.spartacus;                546.36; Sat  ;
 216;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.8.spartacus;                178.44; Unsat;
 217;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.1.spartacus;               TIMEOUT;      ;
 218;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.2.spartacus;               TIMEOUT;      ;
 219;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.3.spartacus;               TIMEOUT;      ;
 220;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.4.spartacus;               TIMEOUT;      ;
 221;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.5.spartacus;               TIMEOUT;      ;
 222;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.6.spartacus;               TIMEOUT;      ;
 223;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.7.spartacus;               TIMEOUT;      ;
 224;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.8.spartacus;               TIMEOUT;      ;
 225;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.1.spartacus;               TIMEOUT;      ;
 226;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.2.spartacus;               TIMEOUT;      ;
 227;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.3.spartacus;               TIMEOUT;      ;
 228;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.4.spartacus;               TIMEOUT;      ;
 229;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.5.spartacus;               TIMEOUT;      ;
