  No;Problem;                                                              snf+#negative6;;
 747;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.3;                           0.02; Unsat;
 748;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.4;                           0.04; Unsat;
 749;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.5;                           0.04; Unsat;
 750;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.6;                           0.05; Unsat;
 751;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.7;                           0.12; Sat  ;
 752;qbfMS/C50-V08-D4/p-qbf-modKSSS-K4-C50-V8-D4.8;                           0.05; Unsat;
 753;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.1;                           0.06; Sat  ;
 754;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.2;                           0.08; Unsat;
 755;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.3;                           0.05; Sat  ;
 756;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.4;                           0.07; Unsat;
 757;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.5;                           0.05; Unsat;
 758;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.6;                           0.03; Sat  ;
 759;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.7;                           0.04; Unsat;
 760;qbfMS/C50-V08-D6/p-qbf-modKSSS-K4-C50-V8-D6.8;                           0.05; Unsat;
 761;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.1;                          0.05; Sat  ;
 762;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.2;                          0.06; Sat  ;
 763;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.3;                          0.05; Sat  ;
 764;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.4;                          0.04; Sat  ;
 765;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.5;                          0.04; Sat  ;
 766;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.6;                          0.05; Unsat;
 767;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.7;                          0.09; Sat  ;
 768;qbfMS/C50-V16-D4/p-qbf-modKSSS-K4-C50-V16-D4.8;                          0.04; Sat  ;
 769;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.1;                          0.08; Sat  ;
 770;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.2;                          0.08; Sat  ;
 771;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.3;                          0.05; Sat  ;
 772;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.4;                          0.04; Sat  ;
 773;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.5;                          0.07; Sat  ;
 774;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.6;                          0.04; Sat  ;
 775;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.7;                          0.07; Sat  ;
 776;qbfMS/C50-V16-D6/p-qbf-modKSSS-K4-C50-V16-D6.8;                          0.05; Sat  ;
 777;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.1;                             0.00; Sat  ;
 778;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.2;                             0.00; Sat  ;
 779;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.3;                             0.00; Sat  ;
 780;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.4;                             0.00; Sat  ;
 781;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.5;                             0.00; Sat  ;
 782;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.6;                             0.00; Sat  ;
 783;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.7;                             0.00; Sat  ;
 784;qbfS/C10-V04-D4/p-qbf-cnfSSS-K4-C10-V4-D4.8;                             0.00; Sat  ;
 785;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.1;                             0.00; Sat  ;
 786;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.2;                             0.00; Sat  ;
 787;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.3;                             0.00; Sat  ;
 788;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.4;                             0.00; Sat  ;
 789;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.5;                             0.00; Sat  ;
 790;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.6;                             0.00; Sat  ;
 791;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.7;                             0.00; Sat  ;
 792;qbfS/C10-V04-D6/p-qbf-cnfSSS-K4-C10-V4-D6.8;                             0.00; Sat  ;
 793;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.1;                             0.00; Sat  ;
 794;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.2;                             0.00; Sat  ;
 795;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.3;                             0.00; Sat  ;
 796;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.4;                             0.00; Sat  ;
 797;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.5;                             0.00; Sat  ;
 798;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.6;                             0.00; Sat  ;
 799;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.7;                             0.00; Sat  ;
 800;qbfS/C10-V08-D4/p-qbf-cnfSSS-K4-C10-V8-D4.8;                             0.00; Sat  ;
 801;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.1;                             0.00; Sat  ;
 802;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.2;                             0.00; Sat  ;
 803;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.3;                             0.00; Sat  ;
 804;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.4;                             0.00; Sat  ;
 805;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.5;                             0.00; Sat  ;
 806;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.6;                             0.00; Sat  ;
 807;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.7;                             0.00; Sat  ;
 808;qbfS/C10-V08-D6/p-qbf-cnfSSS-K4-C10-V8-D6.8;                             0.00; Sat  ;
 809;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.1;                            0.00; Sat  ;
 810;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.2;                            0.00; Sat  ;
 811;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.3;                            0.00; Sat  ;
 812;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.4;                            0.00; Sat  ;
 813;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.5;                            0.00; Sat  ;
 814;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.6;                            0.00; Sat  ;
 815;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.7;                            0.00; Sat  ;
 816;qbfS/C10-V16-D4/p-qbf-cnfSSS-K4-C10-V16-D4.8;                            0.00; Sat  ;
 817;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.1;                            0.00; Sat  ;
 818;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.2;                            0.00; Sat  ;
 819;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.3;                            0.00; Sat  ;
 820;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.4;                            0.00; Sat  ;
 821;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.5;                            0.00; Sat  ;
 822;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.6;                            0.00; Sat  ;
 823;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.7;                            0.00; Sat  ;
 824;qbfS/C10-V16-D6/p-qbf-cnfSSS-K4-C10-V16-D6.8;                            0.00; Sat  ;
 825;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.1;                             0.00; Unsat;
 826;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.2;                             0.00; Sat  ;
 827;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.3;                             0.00; Sat  ;
 828;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.4;                             0.00; Sat  ;
 829;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.5;                             0.00; Sat  ;
 830;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.6;                             0.00; Unsat;
 831;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.7;                             0.00; Sat  ;
 832;qbfS/C20-V04-D4/p-qbf-cnfSSS-K4-C20-V4-D4.8;                             0.00; Sat  ;
 833;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.1;                             0.00; Sat  ;
 834;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.2;                             0.00; Sat  ;
 835;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.3;                             0.00; Sat  ;
 836;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.4;                             0.00; Sat  ;
 837;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.5;                             0.00; Sat  ;
 838;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.6;                             0.00; Sat  ;
 839;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.7;                             0.00; Sat  ;
 840;qbfS/C20-V04-D6/p-qbf-cnfSSS-K4-C20-V4-D6.8;                             0.00; Sat  ;
 841;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.1;                             0.00; Sat  ;
 842;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.2;                             0.00; Sat  ;
 843;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.3;                             0.00; Sat  ;
 844;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.4;                             0.00; Sat  ;
 845;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.5;                             0.00; Sat  ;
 846;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.6;                             0.00; Sat  ;
 847;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.7;                             0.00; Sat  ;
 848;qbfS/C20-V08-D4/p-qbf-cnfSSS-K4-C20-V8-D4.8;                             0.00; Sat  ;
 849;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.1;                             0.00; Sat  ;
 850;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.2;                             0.00; Sat  ;
 851;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.3;                             0.00; Sat  ;
 852;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.4;                             0.00; Sat  ;
 853;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.5;                             0.00; Sat  ;
 854;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.6;                             0.00; Sat  ;
 855;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.7;                             0.00; Sat  ;
 856;qbfS/C20-V08-D6/p-qbf-cnfSSS-K4-C20-V8-D6.8;                             0.00; Sat  ;
 857;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.1;                            0.00; Sat  ;
 858;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.2;                            0.00; Sat  ;
 859;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.3;                            0.00; Sat  ;
 860;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.4;                            0.00; Sat  ;
 861;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.5;                            0.00; Sat  ;
 862;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.6;                            0.00; Sat  ;
 863;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.7;                            0.00; Sat  ;
 864;qbfS/C20-V16-D4/p-qbf-cnfSSS-K4-C20-V16-D4.8;                            0.00; Sat  ;
 865;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.1;                            0.00; Sat  ;
 866;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.2;                            0.00; Sat  ;
 867;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.3;                            0.00; Sat  ;
 868;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.4;                            0.00; Sat  ;
 869;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.5;                            0.00; Sat  ;
 870;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.6;                            0.00; Sat  ;
 871;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.7;                            0.00; Sat  ;
 872;qbfS/C20-V16-D6/p-qbf-cnfSSS-K4-C20-V16-D6.8;                            0.00; Sat  ;
 873;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.1;                             0.00; Unsat;
 874;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.2;                             0.00; Unsat;
 875;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.3;                             0.00; Unsat;
 876;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.4;                             0.00; Sat  ;
 877;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.5;                             0.01; Sat  ;
 878;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.6;                             0.00; Unsat;
 879;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.7;                             0.00; Unsat;
 880;qbfS/C30-V04-D4/p-qbf-cnfSSS-K4-C30-V4-D4.8;                             0.00; Unsat;
 881;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.1;                             0.00; Sat  ;
 882;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.2;                             0.00; Sat  ;
 883;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.3;                             0.00; Unsat;
 884;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.4;                             0.00; Sat  ;
 885;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.5;                             0.00; Sat  ;
 886;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.6;                             0.00; Sat  ;
 887;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.7;                             0.00; Sat  ;
 888;qbfS/C30-V04-D6/p-qbf-cnfSSS-K4-C30-V4-D6.8;                             0.00; Sat  ;
 889;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.1;                             0.00; Sat  ;
 890;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.2;                             0.00; Sat  ;
 891;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.3;                             0.00; Sat  ;
 892;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.4;                             0.00; Sat  ;
 893;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.5;                             0.00; Sat  ;
 894;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.6;                             0.00; Sat  ;
 895;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.7;                             0.00; Sat  ;
 896;qbfS/C30-V08-D4/p-qbf-cnfSSS-K4-C30-V8-D4.8;                             0.00; Sat  ;
 897;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.1;                             0.00; Sat  ;
 898;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.2;                             0.00; Sat  ;
 899;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.3;                             0.00; Sat  ;
 900;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.4;                             0.00; Sat  ;
 901;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.5;                             0.00; Sat  ;
 902;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.6;                             0.00; Sat  ;
 903;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.7;                             0.00; Sat  ;
 904;qbfS/C30-V08-D6/p-qbf-cnfSSS-K4-C30-V8-D6.8;                             0.00; Sat  ;
 905;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.1;                            0.00; Sat  ;
 906;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.2;                            0.00; Sat  ;
 907;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.3;                            0.00; Sat  ;
 908;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.4;                            0.00; Sat  ;
 909;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.5;                            0.00; Sat  ;
 910;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.6;                            0.00; Sat  ;
 911;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.7;                            0.00; Sat  ;
 912;qbfS/C30-V16-D4/p-qbf-cnfSSS-K4-C30-V16-D4.8;                            0.00; Sat  ;
 913;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.1;                            0.00; Sat  ;
 914;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.2;                            0.00; Sat  ;
 915;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.3;                            0.00; Sat  ;
 916;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.4;                            0.00; Sat  ;
 917;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.5;                            0.00; Sat  ;
 918;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.6;                            0.00; Sat  ;
 919;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.7;                            0.00; Sat  ;
 920;qbfS/C30-V16-D6/p-qbf-cnfSSS-K4-C30-V16-D6.8;                            0.00; Sat  ;
 921;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.1;                             0.01; Unsat;
 922;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.2;                             0.00; Unsat;
 923;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.3;                             0.01; Sat  ;
 924;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.4;                             0.01; Unsat;
 925;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.5;                             0.00; Unsat;
 926;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.6;                             0.00; Unsat;
 927;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.7;                             0.01; Unsat;
 928;qbfS/C40-V04-D4/p-qbf-cnfSSS-K4-C40-V4-D4.8;                             0.00; Unsat;
 929;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.1;                             0.00; Unsat;
 930;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.2;                             0.02; Sat  ;
 931;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.3;                             0.01; Sat  ;
 932;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.4;                             0.01; Unsat;
 933;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.5;                             0.01; Unsat;
 934;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.6;                             0.01; Unsat;
 935;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.7;                             0.01; Unsat;
 936;qbfS/C40-V04-D6/p-qbf-cnfSSS-K4-C40-V4-D6.8;                             0.00; Unsat;
 937;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.1;                             0.00; Unsat;
 938;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.2;                             0.00; Unsat;
 939;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.3;                             0.00; Sat  ;
 940;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.4;                             0.01; Unsat;
 941;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.5;                             0.00; Unsat;
 942;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.6;                             0.00; Unsat;
 943;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.7;                             0.00; Unsat;
 944;qbfS/C40-V08-D4/p-qbf-cnfSSS-K4-C40-V8-D4.8;                             0.00; Sat  ;
 945;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.1;                             0.00; Sat  ;
 946;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.2;                             0.00; Sat  ;
 947;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.3;                             0.01; Unsat;
 948;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.4;                             0.01; Sat  ;
 949;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.5;                             0.00; Sat  ;
 950;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.6;                             0.00; Sat  ;
 951;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.7;                             0.00; Sat  ;
 952;qbfS/C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.8;                             0.00; Sat  ;
 953;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.1;                            0.00; Sat  ;
 954;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.2;                            0.00; Sat  ;
 955;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.3;                            0.00; Sat  ;
 956;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.4;                            0.00; Sat  ;
 957;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.5;                            0.00; Sat  ;
 958;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.6;                            0.00; Sat  ;
 959;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.7;                            0.00; Sat  ;
 960;qbfS/C40-V16-D4/p-qbf-cnfSSS-K4-C40-V16-D4.8;                            0.00; Sat  ;
 961;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.1;                            0.00; Sat  ;
 962;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.2;                            0.00; Sat  ;
 963;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.3;                            0.00; Sat  ;
 964;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.4;                            0.00; Sat  ;
 965;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.5;                            0.00; Sat  ;
 966;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.6;                            0.00; Sat  ;
 967;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.7;                            0.00; Sat  ;
 968;qbfS/C40-V16-D6/p-qbf-cnfSSS-K4-C40-V16-D6.8;                            0.00; Sat  ;
 969;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.1;                             0.01; Unsat;
 970;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.2;                             0.00; Unsat;
 971;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.3;                             0.01; Unsat;
 972;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.4;                             0.01; Unsat;
 973;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.5;                             0.00; Unsat;
 974;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.6;                             0.01; Unsat;
 975;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.7;                             0.01; Unsat;
 976;qbfS/C50-V04-D4/p-qbf-cnfSSS-K4-C50-V4-D4.8;                             0.01; Unsat;
 977;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.1;                             0.00; Unsat;
 978;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.2;                             0.01; Unsat;
 979;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.3;                             0.00; Unsat;
 980;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.4;                             0.01; Unsat;
 981;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.5;                             0.01; Unsat;
 982;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.6;                             0.01; Unsat;
 983;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.7;                             0.01; Unsat;
 984;qbfS/C50-V04-D6/p-qbf-cnfSSS-K4-C50-V4-D6.8;                             0.01; Unsat;
 985;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.1;                             0.01; Unsat;
 986;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.2;                             0.02; Unsat;
 987;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.3;                             0.01; Unsat;
 988;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.4;                             0.02; Unsat;
 989;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.5;                             0.02; Unsat;
 990;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.6;                             0.02; Unsat;
 991;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.7;                             0.01; Unsat;
 992;qbfS/C50-V08-D4/p-qbf-cnfSSS-K4-C50-V8-D4.8;                             0.01; Unsat;
