  No;Problem;                                                              snf+#negative6;;
 194;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.2;                           0.80; Sat  ;
 195;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.3;                           0.87; Sat  ;
 196;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.4;                           1.23; Sat  ;
 197;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.5;                           1.08; Sat  ;
 198;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.6;                           0.81; Sat  ;
 199;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.7;                           0.85; Sat  ;
 200;qbfL/C30-V16-D6/p-qbf-cnfLadn-K4-C30-V16-D6.8;                           0.87; Sat  ;
 201;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.1;                            0.12; Unsat;
 202;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.2;                            0.02; Unsat;
 203;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.3;                            0.04; Unsat;
 204;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.4;                            0.08; Unsat;
 205;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.5;                            0.06; Unsat;
 206;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.6;                            0.05; Unsat;
 207;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.7;                            0.14; Unsat;
 208;qbfL/C40-V04-D4/p-qbf-cnfLadn-K4-C40-V4-D4.8;                            0.03; Unsat;
 209;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.1;                            0.16; Unsat;
 210;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.2;                            0.16; Unsat;
 211;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.3;                            0.05; Unsat;
 212;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.4;                            0.08; Unsat;
 213;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.5;                            0.07; Unsat;
 214;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.6;                            0.21; Unsat;
 215;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.7;                            0.45; Sat  ;
 216;qbfL/C40-V04-D6/p-qbf-cnfLadn-K4-C40-V4-D6.8;                            0.05; Unsat;
 217;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.1;                            0.12; Unsat;
 218;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.2;                            0.14; Unsat;
 219;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.3;                            0.14; Sat  ;
 220;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.4;                            0.18; Sat  ;
 221;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.5;                            0.10; Sat  ;
 222;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.6;                            0.13; Sat  ;
 223;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.7;                            0.36; Sat  ;
 224;qbfL/C40-V08-D4/p-qbf-cnfLadn-K4-C40-V8-D4.8;                            0.17; Sat  ;
 225;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.1;                            0.24; Sat  ;
 226;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.2;                            0.29; Sat  ;
 227;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.3;                            0.25; Sat  ;
 228;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.4;                            0.26; Sat  ;
 229;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.5;                            0.26; Sat  ;
 230;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.6;                            0.26; Sat  ;
 231;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.7;                            0.32; Sat  ;
 232;qbfL/C40-V08-D6/p-qbf-cnfLadn-K4-C40-V8-D6.8;                            0.24; Sat  ;
 233;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.1;                           0.54; Sat  ;
 234;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.2;                           0.55; Sat  ;
 235;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.3;                           0.65; Sat  ;
 236;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.4;                           0.45; Sat  ;
 237;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.5;                           0.54; Sat  ;
 238;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.6;                           0.60; Sat  ;
 239;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.7;                           0.55; Sat  ;
 240;qbfL/C40-V16-D4/p-qbf-cnfLadn-K4-C40-V16-D4.8;                           0.55; Sat  ;
 241;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.1;                           1.72; Sat  ;
 242;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.2;                           1.97; Sat  ;
 243;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.3;                           1.57; Sat  ;
 244;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.4;                           1.67; Sat  ;
 245;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.5;                           1.52; Sat  ;
 246;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.6;                           1.23; Sat  ;
 247;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.7;                           1.33; Sat  ;
 248;qbfL/C40-V16-D6/p-qbf-cnfLadn-K4-C40-V16-D6.8;                           1.21; Sat  ;
